Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.38         0.00         3.07          0        184

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.08         0.00         0.27          0         16
sdc               0.48         0.00         4.23          0        254
sde               0.07         0.00         0.53          0         32
sdd               0.13         0.00         2.93          0        176
sdf               0.00         0.00         0.00          0          0
sda               1.12         0.00        12.40          0        744
dm-0              1.55         0.00        12.40          0        744
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.47         0.00         3.73          0        224

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.25         0.00         2.08          0        125
sde               0.07         0.00         0.53          0         32
sdd               0.10         0.00         2.00          0        120
sdf               0.00         0.00         0.00          0          0
sda               0.85         0.00        10.40          0        624
dm-0              1.30         0.00        10.40          0        624
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.40         0.00         3.20          0        192

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.10         0.00         0.63          0         38
sde               0.05         0.00         0.40          0         24
sdd               0.10         0.00         2.00          0        120
sdf               0.00         0.00         0.00          0          0
sda               0.90         0.00        10.80          0        648
dm-0              1.35         0.00        10.80          0        648
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.38         0.00         3.07          0        184

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.08         0.00         0.27          0         16
sdc               0.47         0.00         4.23          0        254
sde               0.08         0.00         0.67          0         40
sdd               0.13         0.00         2.93          0        176
sdf               0.00         0.00         0.00          0          0
sda               1.18         0.00        14.13          0        848
dm-0              1.77         0.00        14.13          0        848
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.08         0.00         0.67          0         40
sdd               0.10         0.00         2.13          0        128
sdf               0.00         0.00         0.00          0          0
sda               0.90         0.00        10.53          0        632
dm-0              1.32         0.00        10.53          0        632
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.08         0.00         0.80          0         48
sdd               0.08         0.00         1.60          0         96
sdf               0.00         0.00         0.00          0          0
sda               0.90         0.00        10.93          0        656
dm-0              1.37         0.00        10.93          0        656
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.38         0.00         3.07          0        184

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.63         0.00         5.97          0        358
sde               0.12         0.00         1.73          0        104
sdd               0.02         0.00         0.67          0         40
sdf               0.00         0.00         0.00          0          0
sda               0.92         0.00        12.00          0        720
dm-0              1.50         0.00        12.00          0        720
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.38         0.00         3.07          0        184

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.08         0.00         0.27          0         16
sdc               0.08         0.00         0.37          0         22
sde               0.18         0.00         2.67          0        160
sdd               0.02         0.00         0.67          0         40
sdf               0.00         0.00         0.00          0          0
sda               0.87         0.00         9.60          0        576
dm-0              1.20         0.00         9.60          0        576
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.17         0.00         1.47          0         88
sdc               0.07         0.00         0.10          0          6
sde               0.20         0.00         3.47          0        208
sdd               0.03         0.00         0.27          0         16
sdf               0.00         0.00         0.00          0          0
sda               0.88         0.00         9.73          0        584
dm-0              1.22         0.00         9.73          0        584
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.65         0.00         5.20          0        312

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.17         0.00         1.60          0         96
sdc               0.47         0.00         4.23          0        254
sde               0.13         0.00         2.00          0        120
sdd               0.03         0.00         0.27          0         16
sdf               0.00         0.00         0.00          0          0
sda               1.42         0.00        19.06          0       1144
dm-0              2.38         0.00        19.06          0       1144
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.93          0         56
sdc               0.07         0.00         0.10          0          6
sde               0.18         0.00         2.80          0        168
sdd               0.02         0.00         0.13          0          8
sdf               0.00         0.00         0.00          0          0
sda               1.07         0.00        12.00          0        720
dm-0              1.50         0.00        12.00          0        720
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.25         0.00         2.07          0        124
sde               0.13         0.00         2.00          0        120
sdd               0.02         0.00         0.13          0          8
sdf               0.00         0.00         0.00          0          0
sda               1.02         0.00        11.60          0        696
dm-0              1.45         0.00        11.60          0        696
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.47          0         88
sdc               0.52         0.00         4.77          0        286
sde               0.12         0.00         1.87          0        112
sdd               0.02         0.00         0.13          0          8
sdf               0.00         0.00         0.00          0          0
sda               1.13         0.00        12.53          0        752
dm-0              1.57         0.00        12.53          0        752
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.93          0         56
sdc               0.07         0.00         0.10          0          6
sde               0.18         0.00         2.80          0        168
sdd               0.02         0.00         0.13          0          8
sdf               0.00         0.00         0.00          0          0
sda               0.85         0.00        10.67          0        640
dm-0              1.33         0.00        10.67          0        640
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.15         0.00         1.33          0         80
sdc               0.68         0.00       355.57          0      21334
sde               0.15         0.00         2.13          0        128
sdd               0.02         0.00         0.13          0          8
sdf               0.03         0.00         0.80          0         48
sda               0.90         0.00        10.80          0        648
dm-0              1.35         0.00        10.80          0        648
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.47          0         88
sdc               0.97         0.00         7.78          0        467
sde               0.07         0.00         0.53          0         32
sdd               0.02         0.00         0.13          0          8
sdf               0.07         0.00         1.47          0         88
sda               0.98         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.28         0.00         2.62          0        157
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.07         0.00         1.47          0         88
sda               0.95         0.00        10.67          0        640
dm-0              1.33         0.00        10.67          0        640
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.42         0.00         3.33          0        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.93          0         56
sdc               0.10         0.00         0.63          0         38
sde               0.07         0.00         0.53          0         32
sdd               0.02         0.00         0.13          0          8
sdf               0.10         0.00         2.27          0        136
sda               0.95         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.15         0.00         1.33          0         80
sdc               0.47         0.00         4.23          0        254
sde               0.08         0.00         0.67          0         40
sdd               0.02         0.00         0.13          0          8
sdf               0.10         0.00         2.27          0        136
sda               1.17         0.00        13.47          0        808
dm-0              1.68         0.00        13.47          0        808
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.47          0         88
sdc               0.07         0.00         0.10          0          6
sde               0.07         0.00         0.53          0         32
sdd               0.02         0.00         0.13          0          8
sdf               0.07         0.00         1.47          0         88
sda               1.03         0.00        13.07          0        784
dm-0              1.63         0.00        13.07          0        784
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.17         0.00         1.33          0         80
sdc               0.07         0.00         0.10          0          6
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.10         0.00         2.27          0        136
sda               1.22         0.00        12.80          0        768
dm-0              1.60         0.00        12.80          0        768
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.52         0.00         4.13          0        248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.18         0.00         1.60          0         96
sdc               0.55         0.00         5.40          0        324
sde               0.07         0.00         0.53          0         32
sdd               0.03         0.00         0.27          0         16
sdf               0.10         0.00         2.27          0        136
sda               0.75         0.00        10.93          0        656
dm-0              1.37         0.00        10.93          0        656
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.58         0.00         4.67          0        280

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.08         0.00         0.37          0         22
sde               0.07         0.00         0.53          0         32
sdd               0.02         0.00         0.13          0          8
sdf               0.07         0.00         1.47          0         88
sda               0.83         0.00         9.33          0        560
dm-0              1.17         0.00         9.33          0        560
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.15         0.00         1.60          0         96
sdc               0.07         0.00         0.10          0          6
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.05         0.00         1.33          0         80
sda               0.80         0.00         9.20          0        552
dm-0              1.15         0.00         9.20          0        552
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.25         0.00         3.33          0        200
sdc               0.47         0.00         4.23          0        254
sde               0.08         0.00         0.67          0         40
sdd               0.02         0.00         0.13          0          8
sdf               0.00         0.00         0.00          0          0
sda               1.08         0.00        12.67          0        760
dm-0              1.58         0.00        12.67          0        760
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.52         0.00         4.13          0        248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.20         0.00         2.80          0        168
sdc               0.07         0.00         0.10          0          6
sde               0.08         0.00         0.67          0         40
sdd               0.02         0.00         0.13          0          8
sdf               0.00         0.00         0.00          0          0
sda               1.12         0.00        13.20          0        792
dm-0              1.65         0.00        13.20          0        792
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.22         0.00         2.80          0        168
sdc               0.25         0.00         2.07          0        124
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.00         0.00         0.00          0          0
sda               0.87         0.00        10.40          0        624
dm-0              1.30         0.00        10.40          0        624
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.42         0.00         3.33          0        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.28         0.00         3.47          0        208
sdc               0.52         0.00         4.77          0        286
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.02         0.00         0.13          0          8
sda               1.25         0.00        13.87          0        832
dm-0              1.73         0.00        13.87          0        832
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.52         0.00         4.13          0        248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.30         0.00         3.87          0        232
sdc               0.07         0.00         0.10          0          6
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.02         0.00         0.13          0          8
sda               1.05         0.00        11.60          0        696
dm-0              1.45         0.00        11.60          0        696
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.57         0.00         4.53          0        272

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.27         0.00         3.60          0        216
sdc               0.07         0.00         0.10          0          6
sde               0.07         0.00         0.53          0         32
sdd               0.02         0.00         0.13          0          8
sdf               0.02         0.00         0.13          0          8
sda               0.80         0.00        12.00          0        720
dm-0              1.50         0.00        12.00          0        720
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.20         0.00         2.80          0        168
sdc               0.47         0.00         4.23          0        254
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.02         0.00         0.13          0          8
sda               1.05         0.00        12.40          0        744
dm-0              1.55         0.00        12.40          0        744
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.25         0.00         3.20          0        192
sdc               0.25         0.00         2.12          0        127
sde               0.05         0.00         0.40          0         24
sdd               0.02         0.00         0.13          0          8
sdf               0.02         0.00         0.13          0          8
sda               0.97         0.00        12.53          0        752
dm-0              1.57         0.00        12.53          0        752
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.22         0.00         2.67          0        160
sdc               0.10         0.00         0.63          0         38
sde               0.05         0.00         0.40          0         24
sdd               0.10         0.00         1.20          0         72
sdf               0.02         0.00         0.13          0          8
sda               1.20         0.00        12.93          0        776
dm-0              1.62         0.00        12.93          0        776
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.17         0.00         1.60          0         96
sdc               0.47         0.00         4.25          0        255
sde               0.03         0.00         0.27          0         16
sdd               0.10         0.00         1.73          0        104
sdf               0.02         0.00         0.13          0          8
sda               1.02         0.00        12.67          0        760
dm-0              1.58         0.00        12.67          0        760
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.47         0.00         3.73          0        224

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         1.07          0         64
sdc               0.07         0.00         0.10          0          6
sde               0.05         0.00         0.40          0         24
sdd               0.15         0.00         2.40          0        144
sdf               0.02         0.00         0.13          0          8
sda               1.03         0.00        12.00          0        720
dm-0              1.50         0.00        12.00          0        720
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.50         0.00         4.00          0        240

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.15         0.00         1.33          0         80
sdc               0.07         0.00         0.10          0          6
sde               0.07         0.00         0.53          0         32
sdd               0.13         0.00         2.40          0        144
sdf               0.02         0.00         0.13          0          8
sda               1.12         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.55         0.00         5.42          0        325
sde               0.05         0.00         0.40          0         24
sdd               0.08         0.00         1.60          0         96
sdf               0.02         0.00         0.13          0          8
sda               1.12         0.00        14.13          0        848
dm-0              1.77         0.00        14.13          0        848
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.08         0.00         0.37          0         22
sde               0.03         0.00         0.27          0         16
sdd               0.10         0.00         1.60          0         96
sdf               0.02         0.00         0.13          0          8
sda               0.78         0.00        10.13          0        608
dm-0              1.27         0.00        10.13          0        608
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.42         0.00         3.33          0        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.40          0         24
sdc               0.07         0.00         0.10          0          6
sde               0.05         0.00         0.40          0         24
sdd               0.18         0.00         3.07          0        184
sdf               0.02         0.00         0.13          0          8
sda               0.88         0.00        10.00          0        600
dm-0              1.25         0.00        10.00          0        600
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.50         0.00         4.00          0        240

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.67          0         40
sdc               0.47         0.00         4.23          0        254
sde               0.07         0.00         0.53          0         32
sdd               0.17         0.00         3.07          0        184
sdf               0.02         0.00         0.13          0          8
sda               1.02         0.00        14.00          0        840
dm-0              1.75         0.00        14.00          0        840
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.05         0.00         0.40          0         24
sdd               0.12         0.00         2.27          0        136
sdf               0.02         0.00         0.13          0          8
sda               1.18         0.00        13.60          0        816
dm-0              1.70         0.00        13.60          0        816
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.25         0.00         2.07          0        124
sde               0.07         0.00         0.67          0         40
sdd               0.12         0.00         1.87          0        112
sdf               0.02         0.00         0.13          0          8
sda               0.83         0.00        10.00          0        600
dm-0              1.25         0.00        10.00          0        600
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.42         0.00         3.33          0        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.08         0.00         0.27          0         16
sdc               0.52         0.00         4.77          0        286
sde               0.17         0.00         2.67          0        160
sdd               0.05         0.00         0.93          0         56
sdf               0.02         0.00         0.13          0          8
sda               1.23         0.00        14.80          0        888
dm-0              1.85         0.00        14.80          0        888
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.50         0.00         4.00          0        240

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.12         0.00         1.87          0        112
sdd               0.05         0.00         0.80          0         48
sdf               0.02         0.00         0.13          0          8
sda               0.93         0.00        10.53          0        632
dm-0              1.32         0.00        10.53          0        632
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.13         0.00         2.53          0        152
sdd               0.05         0.00         0.80          0         48
sdf               0.02         0.00         0.13          0          8
sda               0.93         0.00        14.93          0        896
dm-0              1.87         0.00        14.93          0        896
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.52         0.00         4.13          0        248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.15         0.00         0.93          0         56
sdc               0.47         0.00         4.23          0        254
sde               0.18         0.00         2.93          0        176
sdd               0.07         0.00         0.93          0         56
sdf               0.02         0.00         0.13          0          8
sda               1.15         0.00        14.40          0        864
dm-0              1.80         0.00        14.40          0        864
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.62         0.00         4.93          0        296

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               1.37         0.00       361.13          0      21668
sde               0.13         0.00         2.00          0        120
sdd               0.05         0.00         0.93          0         56
sdf               0.02         0.00         0.13          0          8
sda               1.10         0.00        11.73          0        704
dm-0              1.47         0.00        11.73          0        704
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.47         0.00         3.73          0        224

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.13         0.00         1.17          0         70
sde               0.10         0.00         1.73          0        104
sdd               0.05         0.00         0.80          0         48
sdf               0.02         0.00         0.13          0          8
sda               0.95         0.00        11.20          0        672
dm-0              1.40         0.00        11.20          0        672
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.42         0.00         3.33          0        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.45         0.00         3.97          0        238
sde               0.10         0.00         1.73          0        104
sdd               0.05         0.00         0.80          0         48
sdf               0.02         0.00         0.13          0          8
sda               1.00         0.00        11.87          0        712
dm-0              1.48         0.00        11.87          0        712
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.42         0.00         3.33          0        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.08         0.00         0.27          0         16
sdc               0.07         0.00         0.10          0          6
sde               0.17         0.00         2.67          0        160
sdd               0.05         0.00         0.93          0         56
sdf               0.02         0.00         0.13          0          8
sda               1.32         0.00        15.60          0        936
dm-0              1.95         0.00        15.60          0        936
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.50         0.00         4.00          0        240

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.12         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.15         0.00         2.13          0        128
sdd               0.05         0.00         0.80          0         48
sdf               0.05         0.00         0.80          0         48
sda               0.95         0.00        10.53          0        632
dm-0              1.32         0.00        10.53          0        632
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.55         0.00         4.40          0        264

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.63         0.00         5.97          0        358
sde               0.05         0.00         0.40          0         24
sdd               0.05         0.00         0.80          0         48
sdf               0.08         0.00         1.60          0         96
sda               1.23         0.00        13.60          0        816
dm-0              1.70         0.00        13.60          0        816
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.43         0.00         3.47          0        208

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.08         0.00         0.27          0         16
sdc               0.10         0.00         0.63          0         38
sde               0.05         0.00         0.40          0         24
sdd               0.05         0.00         0.80          0         48
sdf               0.12         0.00         2.40          0        144
sda               0.92         0.00        10.93          0        656
dm-0              1.37         0.00        10.93          0        656
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.07         0.00         0.10          0          6
sde               0.05         0.00         0.40          0         24
sdd               0.05         0.00         0.93          0         56
sdf               0.08         0.00         1.60          0         96
sda               0.95         0.00        12.80          0        768
dm-0              1.60         0.00        12.80          0        768
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.67          0         40
sdc               0.45         0.00         3.95          0        237
sde               0.03         0.00         0.27          0         16
sdd               0.05         0.00         0.80          0         48
sdf               0.08         0.00         1.60          0         96
sda               1.18         0.00        14.00          0        840
dm-0              1.75         0.00        14.00          0        840
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.42         0.00         3.33          0        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.08         0.00         0.27          0         16
sdc               0.08         0.00         0.37          0         22
sde               0.05         0.00         0.40          0         24
sdd               0.05         0.00         0.80          0         48
sdf               0.12         0.00         2.40          0        144
sda               0.90         0.00        10.40          0        624
dm-0              1.30         0.00        10.40          0        624
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.48         0.00         3.87          0        232

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         0.80          0         48
sdc               0.25         0.00         2.08          0        125
sde               0.07         0.00         0.53          0         32
sdd               0.05         0.00         0.80          0         48
sdf               0.12         0.00         2.93          0        176
sda               0.93         0.00        10.67          0        640
dm-0              1.33         0.00        10.67          0        640
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.63         0.00         5.07          0        304

